,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,audience,audience:confidence,bias,bias:confidence,message,message:confidence,orig__golden,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text,Name,Last Name,Party
3392,766195878,False,finalized,1,8/5/15 6:05,constituency,1.0,neutral,1.0,information,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10152448503811747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10152448503811747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10152448503811747,From: John Garamendi (Representative from California),,facebook,"If someone in your life is looking for a job (or a better job), my office is helping out at a job fair happening tomorrow in #YubaCity. Bring your resume, dress for success, and practice your short interview speech.",John Garamendi,Garamendi,D
3393,766195879,False,finalized,1,8/5/15 13:42,constituency,1.0,neutral,1.0,information,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10152158584356747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10152158584356747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10152158584356747,From: John Garamendi (Representative from California),,facebook,An Amber Alert has been issued for a baby abducted in Northern California. Keep an eye out.,John Garamendi,Garamendi,D
3394,766195880,False,finalized,1,8/5/15 5:29,national,1.0,neutral,1.0,policy,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10152080827921747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10152080827921747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10152080827921747,From: John Garamendi (Representative from California),,facebook,Today The Davis Enterprise Newspaper published my op-ed on #Syria in response to a column published by the paper a couple weeks ago. There are a lot of good questions about the wisdom of a potential strike in Syria and a lot of disconcerting answers.,John Garamendi,Garamendi,D
3395,766195881,False,finalized,1,8/5/15 5:59,national,1.0,partisan,1.0,information,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10151978466416747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10151978466416747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10151978466416747,From: John Garamendi (Representative from California),,facebook,"Today is the 60th anniversary of the Korean War Armistice. We owe enormous gratitude to those who served and fought communist aggression. If you know a #KoreanWar veteran, post a photo in their honor ÛÒ itÛªs a small but meaningful gesture to bring attention to this ÛÏforgotten war.Û
 
 My office caseworker Brandon Thompson is working with Harold Griffith, a Korean War veteran in Yuba City, to try and help him receive his VA benefits. Read about Mr. Griffith's experiences in this Appeal-Democrat article: http://bit.ly/11kl4CP .
 
 If you or someone you know lives in the 3rd District and encounters difficulty with VA or other federal benefits, please call my district offices during the week and ask for a constituent caseworker. The phone number for my Davis office is 530-753-5301, Yuba City's is 530-329-8865, and Fairfield's is 707-438-1822 . Not sure if you're a resident of the 3rd District, go to http://www.house.gov/representatives/find/ to find out.",John Garamendi,Garamendi,D
3396,766195882,False,finalized,1,8/5/15 5:21,national,1.0,neutral,1.0,information,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10151882968471747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10151882968471747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10151882968471747,From: John Garamendi (Representative from California),,facebook,"Today, the U.S. Department of Veterans Affairs and U.S. Department of Housing and Urban Development announced that they will provide housing for 9,000 currently homeless veterans. This is good news and more progress in the goal of completely ending homelessness among veterans, which has declined by 17 percent since 2009.  My office is committed to helping veterans get the support they have earned. If you or someone you know live in the District and need help obtaining your VA benefits, please call my caseworkers at 530-753-5301",John Garamendi,Garamendi,D
3397,766195883,False,finalized,1,8/5/15 5:59,constituency,1.0,partisan,1.0,constituency,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/350834378350612"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/350834378350612"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_350834378350612,From: John Garamendi (Representative from California),,facebook,"At 10:05 AM PT/ 1:05 PM PT, you can listen to my conversation with The Ed Schultz Show about the #1 issue in Northern California and in America today: jobs. Listen to the radio program through this link:",John Garamendi,Garamendi,D
3398,766195884,False,finalized,1,8/5/15 5:33,national,1.0,neutral,1.0,support,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10151729165061747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10151729165061747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10151729165061747,From: John Garamendi (Representative from California),,facebook,"STAFF: While Congressman John Garamendi is on the floor watching the State of the Union, we will live tweet some of our favorite moments on Twitter at http://www.twitter.com/repgaramendi.",John Garamendi,Garamendi,D
3399,766195885,False,finalized,1,8/5/15 5:38,constituency,1.0,neutral,1.0,information,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10151728705981747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10151728705981747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10151728705981747,From: John Garamendi (Representative from California),,facebook,"Thank you to all participants in SaturdayÛªs terrific town halls in the City of Woodland & Marysville. These events help me gauge the pulse of the district and determine what issues and policies I should be advancing in Washington (more on the town halls here: http://1.usa.gov/X5xN6X ). Stay in touch with our offices and look for more district events, including those on March 9th, by going to my website www.garamendi.house.gov
 FYI The Woodland Daily Democrat Appeal-Democrat",John Garamendi,Garamendi,D
3400,766195886,False,finalized,1,8/5/15 5:35,national,1.0,neutral,1.0,policy,1.0,,,,G000559,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/182567716746/posts/10151680320206747"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/182567716746/posts/10151680320206747"">Post</a> by <a href=""https://www.facebook.com/182567716746"">Congressman John Garamendi</a>.</div></div></br>",182567716746_10151680320206747,From: John Garamendi (Representative from California),,facebook,"Reminder for Davis & Yolo county residents: Starting at 3 PM today, meet my staff, members of our community, and me at the grand opening of our new Davis Office. Learn about how my team can help you! The office address is 412 G St, Davis, CA and the event lasts until 6 PM. More event details here: http://on.fb.me/WX1YMG Davis Patch UC Davis The California Aggie The Davis Enterprise Newspaper",John Garamendi,Garamendi,D
3408,766195894,False,finalized,1,8/5/15 5:26,national,1.0,neutral,1.0,support,1.0,,,,G000562,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/160924893954206/posts/830042773709078"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/160924893954206/posts/830042773709078"">Post</a> by <a href=""https://www.facebook.com/160924893954206"">Senator Cory Gardner</a>.</div></div></br>",160924893954206_830042773709078,From: Cory Gardner (Representative from Colorado),,facebook,"Myrna has provided 58 years of dedication and public service to the people of Larimer County and will be sorely missed. Supremely knowledgeable, friendly service, and always up to the job, she is an example of public service at its finest.",Cory Gardner,Gardner,R
3409,766195895,False,finalized,1,8/5/15 5:36,national,1.0,neutral,1.0,information,1.0,,,,G000562,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/160924893954206/posts/814958011884221"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/160924893954206/posts/814958011884221"">Post</a> by <a href=""https://www.facebook.com/160924893954206"">Senator Cory Gardner</a>.</div></div></br>",160924893954206_814958011884221,From: Cory Gardner (Representative from Colorado),,facebook,"Today we mourn the loss of four rabbis, three of which were American citizens, and a policeman, who fell victim to violent attacks. The United States must remain steadfast in our commitment to stand with Israel as these acts of terror are far too common today. My thoughts and prayers are with the victims, their families, and all the innocent bystanders who were forced to witness this horrendous act of violence.",Cory Gardner,Gardner,R
3410,766195896,False,finalized,1,8/5/15 5:42,national,1.0,neutral,1.0,personal,1.0,,,,G000562,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/160924893954206/posts/610645365648821"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/160924893954206/posts/610645365648821"">Post</a> by <a href=""https://www.facebook.com/160924893954206"">Senator Cory Gardner</a>.</div></div></br>",160924893954206_610645365648821,From: Cory Gardner (Representative from Colorado),,facebook,Reentering your home for the first time since the floods? CDC has helpful information on how to do it safely.,Cory Gardner,Gardner,R
3411,766195897,False,finalized,1,8/5/15 5:45,national,1.0,neutral,1.0,support,1.0,,,,G000562,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/160924893954206/posts/608457542534270"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/160924893954206/posts/608457542534270"">Post</a> by <a href=""https://www.facebook.com/160924893954206"">Senator Cory Gardner</a>.</div></div></br>",160924893954206_608457542534270,From: Cory Gardner (Representative from Colorado),,facebook,"Go to this page on my website to find current information on the floods, and ways you can help those in need.",Cory Gardner,Gardner,R
3412,766195898,False,finalized,1,8/5/15 6:05,national,1.0,partisan,1.0,support,1.0,,,,G000562,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/160924893954206/posts/161380514016828"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/160924893954206/posts/161380514016828"">Post</a> by <a href=""https://www.facebook.com/160924893954206"">Senator Cory Gardner</a>.</div></div></br>",160924893954206_161380514016828,From: Cory Gardner (Representative from Colorado),,facebook,Tune in to Meet the Press on NBC this Sunday at 9am MST to see me participate in a special discussion with current and former members of Congress about the dysfunction in Washington and what the latest Sequester crisis says about our government.,Cory Gardner,Gardner,R
3413,766195899,False,finalized,1,8/5/15 5:45,national,1.0,neutral,1.0,policy,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/951264958221190"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/951264958221190"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_951264958221190,From: Bob Gibbs (Representative from Ohio),,facebook,"While wages stay stagnant, every day costs are on the rise. What is costing you and your family the most?",Bob Gibbs,Gibbs,R
3414,766195900,False,finalized,1,8/5/15 5:18,national,1.0,neutral,1.0,support,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/933812629966423"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/933812629966423"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_933812629966423,From: Bob Gibbs (Representative from Ohio),,facebook,"Today, we reflect and remember those who died on September 11th. We must also thank those who protect us at home and abroad every day. We will never forget the brave Americans we lost and their acts of courage on that day will continue to make us all proud to be Americans.",Bob Gibbs,Gibbs,R
3415,766195901,False,finalized,1,8/5/15 4:55,national,1.0,partisan,1.0,support,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/885496721464681"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/885496721464681"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_885496721464681,From: Bob Gibbs (Representative from Ohio),,facebook,Join Rep. Larry Bucshon and I on Wednesday at 2:00pm at the Transportation and Infrastructure Committee Facebook page for a LIVE question and answer session on our experience in the #driverless car.,Bob Gibbs,Gibbs,R
3416,766195902,False,finalized,1,8/5/15 5:35,national,1.0,partisan,1.0,policy,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/839484072732613"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/839484072732613"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_839484072732613,From: Bob Gibbs (Representative from Ohio),,facebook,Did you know that tax compliance costs are 65 percent higher for small businesses than for big businesses? Like if you are ready for real reforms to the tax code.,Bob Gibbs,Gibbs,R
3417,766195903,False,finalized,1,8/5/15 4:58,constituency,1.0,neutral,1.0,constituency,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/694484843899204"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/694484843899204"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_694484843899204,From: Bob Gibbs (Representative from Ohio),,facebook,Thank you to everyone who came out tonight in Hartville. It was great hearing what was on your mind and answering your questions.,Bob Gibbs,Gibbs,R
3418,766195904,False,finalized,1,8/5/15 5:35,national,1.0,neutral,1.0,policy,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/679869155360773"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/679869155360773"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_679869155360773,From: Bob Gibbs (Representative from Ohio),,facebook,What are your thoughts on the delay concerning the Employer Mandate in Obamacare?,Bob Gibbs,Gibbs,R
3419,766195905,False,finalized,1,8/5/15 4:59,national,1.0,neutral,1.0,personal,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/666464996701189"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/666464996701189"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_666464996701189,From: Bob Gibbs (Representative from Ohio),,facebook,An old one of me and my kids. Happy Father's Day to all of the Dads out there today.,Bob Gibbs,Gibbs,R
3420,766195906,False,finalized,1,8/5/15 6:16,constituency,1.0,neutral,1.0,mobilization,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/641927442488278"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/641927442488278"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_641927442488278,From: Bob Gibbs (Representative from Ohio),,facebook,The Department of Veterans Services is now accepting nominations for the Ohio Veterans Hall of Fame.  Be sure to submit your nomination by June 30th.  http://bit.ly/YgOPVZ,Bob Gibbs,Gibbs,R
3421,766195907,False,finalized,1,8/5/15 5:57,constituency,1.0,neutral,1.0,personal,1.0,,,,G000563,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/191159267565100/posts/637044062976616"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/191159267565100/posts/637044062976616"">Post</a> by <a href=""https://www.facebook.com/191159267565100"">Congressman Bob Gibbs</a>.</div></div></br>",191159267565100_637044062976616,From: Bob Gibbs (Representative from Ohio),,facebook,"A member of my staff will be holding office hours today from 12pm-2pm in Knox County.  Mt. Vernon Library 201 N. Mulberry St. Mt. Vernon, OH 43050",Bob Gibbs,Gibbs,R
3422,766195908,False,finalized,1,8/5/15 5:58,constituency,1.0,neutral,1.0,personal,1.0,,,,G000564,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/190238567659779/posts/980078795342415"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/190238567659779/posts/980078795342415"">Post</a> by <a href=""https://www.facebook.com/190238567659779"">Congressman Chris Gibson</a>.</div></div></br>",190238567659779_980078795342415,From: Chris Gibson (Representative from New York),,facebook,Congrats to Nina Postupack and the Gills for their awards from the Rip Van Winkle Council of the @boyscouts of America.,Chris Gibson,Gibson,R
3423,766195909,False,finalized,1,8/5/15 5:33,constituency,1.0,neutral,1.0,media,1.0,,,,G000564,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/190238567659779/posts/956017887748506"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/190238567659779/posts/956017887748506"">Post</a> by <a href=""https://www.facebook.com/190238567659779"">Congressman Chris Gibson</a>.</div></div></br>",190238567659779_956017887748506,From: Chris Gibson (Representative from New York),,facebook,Pleased to help announce more Federal & State funding for the big NRCS Flood Mitigation Project in Schoharie County. http://t.co/bJMu8nOKpy,Chris Gibson,Gibson,R
3424,766195910,False,finalized,1,8/5/15 5:35,constituency,1.0,neutral,1.0,personal,1.0,,,,G000564,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/190238567659779/posts/685054818178149"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/190238567659779/posts/685054818178149"">Post</a> by <a href=""https://www.facebook.com/190238567659779"">Congressman Chris Gibson</a>.</div></div></br>",190238567659779_685054818178149,From: Chris Gibson (Representative from New York),,facebook,With Eagle Scout Stephen Pelletier at the monthly breakfast at the Sullivan-Jones VFW Post in Poestenkill on Sunday.,Chris Gibson,Gibson,R
3425,766195911,False,finalized,1,8/5/15 5:27,constituency,1.0,neutral,1.0,support,1.0,,,,G000565,"<div id=""fb-root""></div> <script>(function(d, s, id) { var js, fjs = d.getElementsByTagName(s)[0]; if (d.getElementById(id)) return; js = d.createElement(s); js.id = id; js.src = ""//connect.facebook.net/en_US/all.js#xfbml=1""; fjs.parentNode.insertBefore(js, fjs); }(document, ""script"", ""facebook-jssdk""));</script>
<div class=""fb-post"" data-href=""https://www.facebook.com/104329699641957/posts/767666646641589"" data-width=""466""><div class=""fb-xfbml-parse-ignore""><a href=""https://www.facebook.com/104329699641957/posts/767666646641589"">Post</a> by <a href=""https://www.facebook.com/104329699641957"">Rep. Paul Gosar</a>.</div></div></br>",104329699641957_767666646641589,From: Paul Gosar (Representative from Arizona),,facebook,"For the third time in as many weeks, I am extremely pleased to see the Senate pass one of my sponsored bills, this time, honoring one of ArizonaÛªs greatest public servants, Barry Goldwater. My bill would designate the post office located at 442 Miller Valley Road in Prescott, Arizona, as the ÛÏBarry M. Goldwater Post Office"".  Barry Goldwater paved the way for the modern Conservative movement while continuing to fight for the principals passed down to us from the founding fathers including advocating for limited government and protecting individual liberty. Above all else, regardless of political ideology, Barry Goldwater will always be remembered for his integrity and patriotism. LIKE and SHARE this post if you agree.",Paul Gosar,Gosar,R
